Unnamed: 0,aper: 1MA1/1H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,uestion,,,Answer,,,Mark,,,Mark scheme,,,Additional guidance,
"10(a)
(b)
(c)
(d)","10, 25, 50, 80,
85,100
Graph drawn
35 to 39
85 to 93","B1
M1
A1
B1
M1
A1","cao
for 5 or 6 of their points plotted correctly from a cf table with no more
than one error
for a fully correct graph
SC B1 for 5 or 6 cf values plotted at correct heights not at end but
consistently within each interval and joined provided no gradient is
negative
for answer in the range 35 to 39 or ft their graph (if possible)
for finding the difference between readings taken from the profit axis at
points from a cf of 25 and a cf of 75 ft their graph (if possible)
for answer in the range 85 to 93 or ft their graph (if possible)","If histograms drawn, plots must be identified.
Accept a smooth curve or line segments.
Ignore to the left of the first point and right of
the last point.
If answer is in the range award the marks
unless from obvious incorrect working",,,,,,,,,,
11,8,"P1
P1
A1","for a start to the process,
9
39
egor  (=)
9+ 4+ x
7
21
or states that the total number of sweets is 21
for forming a correct equation without fractions,
eg 9 × 7 = 3(9 + 4 + x)  or  21 = 9 + 4 + x
948
OR for 21 – 9 – 4 oe  or  1 ––
(=)
212121
cao",,,,,,,,,,,
