Unnamed: 0,aper: 1MA1/1H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,uestion,,,Answer,,,Mark,,,Mark scheme,,,Additional guidance,
21.0,"16
163 −
3","P1
P1
P1
P1
A1","for identifying an angle of 60 or 120
for process to find the area of a sector of angle 60 or 120
2608
12016
eg  4
×(=)2or  4
×(=)
360
3360
3
for process to find the area of an equilateral triangle
21
4
42 −
2
eg× 4 × 4 × sin 60 (= 43 )  or
(= 212 or 43 )
2
2
or the area of an isosceles triangle or area of a right-angled triangle
21
24 − 22
eg× 4 × 4 × sin 120 (= 43 )  or
(=12 or 23 )
2
2
for using area of sector – area of triangle to find area of a segment
26018
eg  4
×–
× 4 × 4 × sin 60  (=– 4
3 )
3602
3
2120116
or  4
×–
× 4 × 4 × sin 120 (=– 4
3 )
3602
3
161616
for 16 − 4(
− 43 +
)  or 163 −
oe
663",Does not need to be in simplest form,,,,,,,,,,
