Unnamed: 0,aper: 1MA1/1H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,uestion,,,Answer,,,Mark,,,Mark scheme,,,Additional guidance,
18.0,16,"M1
M1
M1
A1","1
−
4 
2
for working with square root or with reciprocal in 5
9 
1
−1
9  2
1
1 7 
3
eg  
or
oror  
or
1
 49 
49
2 3 
7
 49 
9

9 
314
for a full method to simplify the numerator eg
(= 2)
73
−3314
for showing2
as × 8,  eg8
73
or for 2  21−3
(= 24)
or for correctly reducing the expression to a single calculation,
3361121
egoror  2 ÷
21
78
cao","May be seen at any time during the
calculation
Award 0 marks for a correct answer with no
supportive working",,,,,,,,,,
