Unnamed: 0,aper: 1MA1/1H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,uestion,,,Answer,,,Mark,,,Mark scheme,,,Additional guidance,
19.0,"5
15
2","M1
M1
M1
A1","for using a common denominator
x −13(2x −1)
eg+
(= 1)
(2x −1)(x −1)(2x −1)(x −1)
or (x – 1) + 3(2x – 1) = (2x – 1)(x – 1)
for expanding and rearranging to get 2x2 – 10x + 5 (= 0)
(dep M1) ft for a method to solve their 3 term quadratic equation
210

(−10) − 425
10 
60
egor
22
4
22
or 2 x −5 
 −  5  
  + 5 = 0  oe
2  2  
cao","Note we don’t need to see “= 0”; just the LHS
is sufficient
Accept other forms of the 3 term quadratic,
eg 2x2 – 10x = – 5
Correct use of formula or completing the
square",,,,,,,,,,
